char,ucn,kRSUnicode,kTotalStrokes,kIICore,kUnihanCore2020,IsHCoreSim
㐀,U+3400,1.4,5,,,
㐁,U+3401,1.5,6,,,
㐂,U+3402,1.5,6,,,
㐃,U+3403,2.2,3,,,
㐄,U+3404,2.2,3,,,
㐅,U+3405,4.1,2,,,
㐆,U+3406,4.5,6,,,
㐇,U+3407,5.2,3,,,
㐈,U+3408,5.2,3,,,
㐉,U+3409,5.2,3,,,
㐊,U+340A,5.3,4,,,
㐋,U+340B,5.3,4,,,
㐌,U+340C,5.4,5,,,
㐍,U+340D,5.4,5,,,
㐎,U+340E,5.4,5,,,
㐏,U+340F,5.4,5,,,
㐐,U+3410,5.5,6,,,
㐑,U+3411,5.5,6,,,
㐒,U+3412,5.5,6,,,
㐓,U+3413,5.5,6,,,
㐔,U+3414,5.5,6,,,
㐕,U+3415,5.5,6,,,
㐖,U+3416,5.6,7,,,
㐗,U+3417,5.6,7,,,
㐘,U+3418,5.6,7,,,
㐙,U+3419,5.7,8,,,
㐚,U+341A,5.7,8,,,
㐛,U+341B,5.7,8,,,
㐜,U+341C,5.8,9,,,
㐝,U+341D,5.8,9,,,
㐞,U+341E,5.8,9,,,
㐟,U+341F,5.8,9,,,
㐠,U+3420,5.8,9,,,
㐡,U+3421,5.10,11,,,
㐢,U+3422,5.10,11,,,
㐣,U+3423,5.10,11,,,
㐤,U+3424,5.11,12,,,
㐥,U+3425,5.15,16,,,
㐦,U+3426,5.18,19,,,
㐧,U+3427,6.3,4,,,
㐨,U+3428,6.7,8,,,
㐩,U+3429,7.6,8,,,
㐪,U+342A,8.4,6,,,
㐫,U+342B,8.4,6,,,
㐬,U+342C,8.5,7,,,
㐭,U+342D,8.6,8,,,
㐮,U+342E,8.11,13,,,
㐯,U+342F,8.15,17,,,
㐰,U+3430,9.3,5,,,
㐱,U+3431,9.3,5,,,
㐲,U+3432,9.3,5,,,
㐳,U+3433,9.3,5,,,
㐴,U+3434,9.3,5,,,
㐵,U+3435,9.3,5,,H,
㐶,U+3436,9.3,5,,,
㐷,U+3437,9.3,5,,,
㐸,U+3438,9.4,6,,,
㐹,U+3439,9.4,6,,,
㐺,U+343A,9.4,6,,,
㐻,U+343B,9.4,6,,,
㐼,U+343C,9.4,6,,,
㐽,U+343D,9.4,6,,,
㐾,U+343E,9.4,6,,,
㐿,U+343F,9.4,6,,,
㑀,U+3440,9.4,6,,H,
㑁,U+3441,9.5,7,,,
㑂,U+3442,9.5,7,,,
㑃,U+3443,9.5,7,,,
㑄,U+3444,9.5,7,,,
㑅,U+3445,9.5,7,,,
㑆,U+3446,9.5,7,,,
㑇,U+3447,9.5,7,,G,
㑈,U+3448,9.5,7,,,
㑉,U+3449,9.6,8,,,
㑊,U+344A,9.6,8,,GH,
㑋,U+344B,9.6,8,,,
㑌,U+344C,9.6,8,,H,
㑍,U+344D,9.6,8,,,
㑎,U+344E,9.6,8,,,
㑏,U+344F,9.6,8,,,
㑐,U+3450,9.6,8,,,
㑑,U+3451,9.6,8,,,
㑒,U+3452,9.6,8,,,
㑓,U+3453,9.6,8,,,
㑔,U+3454,9.6,8,,,
㑕,U+3455,9.6,8,,,
㑖,U+3456,9.6,8,,,
㑗,U+3457,9.7,9,,,
㑘,U+3458,9.7,9,,,
㑙,U+3459,9.7,9,,,
㑚,U+345A,9.7,9,,,
㑛,U+345B,9.7,9,,,
㑜,U+345C,9.7,9,,,
㑝,U+345D,9.7,9,,,
㑞,U+345E,9.7,9,,,
㑟,U+345F,9.7,9,,,
㑠,U+3460,9.7,9,,,
㑡,U+3461,9.7,9,,,
㑢,U+3462,9.7,9,,,
㑣,U+3463,9.8,10,,,
㑤,U+3464,9.9,11,,H,
㑥,U+3465,9.8,10,,,
㑦,U+3466,9.8,10,,,
㑧,U+3467,9.8,10,,,
㑨,U+3468,9.8,10,,,
㑩,U+3469,9.8,10,,,
㑪,U+346A,9.8,10,,,
㑫,U+346B,9.8,10,,,
㑬,U+346C,9.8,10,,,
㑭,U+346D,9.8,10,,,
㑮,U+346E,9.9,11,,,
㑯,U+346F,9.9,11,,,
㑰,U+3470,9.9,11,,,
㑱,U+3471,9.9,11,,,
㑲,U+3472,9.9,11,,,
㑳,U+3473,9.10,12,,H,
㑴,U+3474,9.10,12,,,
㑵,U+3475,9.10,12,,,
㑶,U+3476,9.10,12,,,
㑷,U+3477,9.10,12,,,
㑸,U+3478,9.10,12,,,
㑹,U+3479,9.10,12,,,
㑺,U+347A,9.10,12,,H,
㑻,U+347B,9.11,13,,,
㑼,U+347C,9.11,13,,,
㑽,U+347D,9.11,13,,H,
㑾,U+347E,9.11,13,,H,
㑿,U+347F,9.11,13,,,
㒀,U+3480,9.11,13,,,
㒁,U+3481,9.11,13,,,
㒂,U+3482,9.12,14,,,
㒃,U+3483,9.12,14,,,
㒄,U+3484,9.12,14,,,
㒅,U+3485,9.12,14,,,
㒆,U+3486,9.12,14,,,
㒇,U+3487,9.12,14,,,
㒈,U+3488,9.12,14,,,
㒉,U+3489,9.12,14,,,
㒊,U+348A,9.12,14,,,
㒋,U+348B,9.12,14,,,
㒌,U+348C,9.12,14,,,
㒍,U+348D,9.12,14,,,
㒎,U+348E,9.12,14,,,
㒏,U+348F,9.12,14,,,
㒐,U+3490,9.12,14,,,
㒑,U+3491,9.13,15,,,
㒒,U+3492,9.13,15,,,
㒓,U+3493,9.13,15,,H,
㒔,U+3494,9.13,15,,,
㒕,U+3495,9.13,15,,,
㒖,U+3496,9.13,15,,H,
㒗,U+3497,9.13,15,,,
㒘,U+3498,9.13,15,,,
㒙,U+3499,9.14,16,,,
㒚,U+349A,9.14,16,,,
㒛,U+349B,9.14,16,,,
㒜,U+349C,9.14,16,,,
㒝,U+349D,9.15,17,,,
㒞,U+349E,9.15,17,,,
㒟,U+349F,9.16,18,,,
㒠,U+34A0,9.16,18,,,
㒡,U+34A1,9.17,19,,,
㒢,U+34A2,9.17,19,,,
㒣,U+34A3,9.17,19,,,
㒤,U+34A4,9.18,20,,,
㒥,U+34A5,9.18,20,,H,
㒦,U+34A6,9.18,20,,,
㒧,U+34A7,9.19,21,,,
㒨,U+34A8,9.19,21,,,
㒩,U+34A9,9.21,23,,,
㒪,U+34AA,9.24,26,,,
㒫,U+34AB,10.4,6,,,
㒬,U+34AC,10.6,8,,,
㒭,U+34AD,10.8,10,,,
㒮,U+34AE,10.9,11,,,
㒯,U+34AF,10.16,18,,H,
㒰,U+34B0,11.3,5,,,
㒱,U+34B1,11.3,5,,,
㒲,U+34B2,11.4,6,,,
㒳,U+34B3,11.5,7,,,
㒴,U+34B4,11.5,7,,,
㒵,U+34B5,12.5,7,,,
㒶,U+34B6,12.5,7,,,
㒷,U+34B7,12.5,7,,,
㒸,U+34B8,12.7,9,,,
㒹,U+34B9,12.18,20,,,
㒺,U+34BA,13.6,8,,,
㒻,U+34BB,13.9,11,,,
㒼,U+34BC,13.9,11,,H,
㒽,U+34BD,13.10,12,,,
㒾,U+34BE,13.11,13,,,
㒿,U+34BF,13.20,22,,,
㓀,U+34C0,14.2,4,,,
㓁,U+34C1,14.2,4,,H,
㓂,U+34C2,14.7,9,,,
㓃,U+34C3,14.10,12,,,
㓄,U+34C4,14.13,15,,,
㓅,U+34C5,15.2,4,,,
㓆,U+34C6,15.4,6,,,
㓇,U+34C7,15.4,6,,,
㓈,U+34C8,15.5,7,,H,
㓉,U+34C9,15.6,8,,,
㓊,U+34CA,15.6,8,,,
㓋,U+34CB,15.6,8,,,
㓌,U+34CC,15.6,8,,,
㓍,U+34CD,15.6,8,,,
㓎,U+34CE,15.7,9,,,
㓏,U+34CF,15.7,9,,,
㓐,U+34D0,15.8,10,,,
㓑,U+34D1,15.8,10,,,
㓒,U+34D2,15.8,10,,,
㓓,U+34D3,15.9,11,,,
㓔,U+34D4,15.10,12,,,
㓕,U+34D5,15.10,12,,,
㓖,U+34D6,15.11,13,,,
㓗,U+34D7,15.12,14,,,
㓘,U+34D8,16.9,11,,,
㓙,U+34D9,17.4,6,,,
㓚,U+34DA,18.3,5,,,
㓛,U+34DB,18.3,5,,,
㓜,U+34DC,18.3,5,,,
㓝,U+34DD,18.4,6,,,
㓞,U+34DE,18.4,6,,,
㓟,U+34DF,18.5,7,,H,
㓠,U+34E0,18.5,7,,,
㓡,U+34E1,18.6,8,,,
㓢,U+34E2,18.6,8,,,
㓣,U+34E3,18.6,8,,,
㓤,U+34E4,18.6,8,CH,H,h
㓥,U+34E5,18.6,8,,,h
㓦,U+34E6,18.6,8,,H,
㓧,U+34E7,18.7,9,,,
㓨,U+34E8,18.7,9,,,
㓩,U+34E9,18.7,9,,,
㓪,U+34EA,18.7,9,,,
㓫,U+34EB,18.7,9,,,
㓬,U+34EC,18.8,10,,,
㓭,U+34ED,18.8,10,,,
㓮,U+34EE,18.8,10,,,
㓯,U+34EF,18.8,10,,,
㓰,U+34F0,18.8,10,,,
㓱,U+34F1,18.9,11,,,
㓲,U+34F2,18.9,11,,,
㓳,U+34F3,18.9,11,,,
㓴,U+34F4,18.9,11,,,
㓵,U+34F5,18.9,11,,,
㓶,U+34F6,18.9,11,,,
㓷,U+34F7,18.10,12,,,
㓸,U+34F8,18.10,12,,,
㓹,U+34F9,18.10,12,,,
㓺,U+34FA,18.10,12,,,
㓻,U+34FB,18.10,12,,H,
㓼,U+34FC,18.11,13,,,
㓽,U+34FD,18.11,13,,,
㓾,U+34FE,18.12,14,,,
㓿,U+34FF,18.12,14,,,
㔀,U+3500,18.12,14,,,
㔁,U+3501,18.12,14,,,
㔂,U+3502,18.12,14,,,
㔃,U+3503,18.12,14,,,
㔄,U+3504,18.12,14,,,
㔅,U+3505,18.12,14,,,
㔆,U+3506,18.12,14,,H,
㔇,U+3507,18.12,14,,,
㔈,U+3508,18.12,14,,,
㔉,U+3509,18.12,14,,,
㔊,U+350A,18.13,15,,,
㔋,U+350B,18.14,16,,,
㔌,U+350C,18.14,16,,,
㔍,U+350D,18.14,16,,,
㔎,U+350E,18.15,17,,,
㔏,U+350F,18.15,17,,,
㔐,U+3510,18.16,18,,,
㔑,U+3511,18.17,19,,,
㔒,U+3512,18.18,20,,,
㔓,U+3513,19.3,5,,,
㔔,U+3514,19.4,6,,,
㔕,U+3515,19.4,6,,,
㔖,U+3516,19.4,6,,,
㔗,U+3517,19.5,7,,,
㔘,U+3518,19.5,7,,,
㔙,U+3519,19.6,8,,,
㔚,U+351A,19.6,8,,,
㔛,U+351B,19.6,8,,,
㔜,U+351C,19.7,9,,,
㔝,U+351D,19.8,10,,,
㔞,U+351E,19.8,10,,,
㔟,U+351F,19.8,10,,,
㔠,U+3520,19.9,11,,,
㔡,U+3521,19.10,12,,,
㔢,U+3522,19.12,14,,,
㔣,U+3523,19.15,17,,,
㔤,U+3524,19.15,17,,,
㔥,U+3525,19.15,17,,,
㔦,U+3526,19.15,17,,,
㔧,U+3527,19.16,18,,,
㔨,U+3528,20.9,11,,,
㔩,U+3529,20.10,12,,,
㔪,U+352A,20.11,13,,,
㔫,U+352B,21.2,4,,,
㔬,U+352C,21.6,8,,,
㔭,U+352D,21.9,11,,,
㔮,U+352E,130.17,21,,,
㔯,U+352F,22.5,7,,,
㔰,U+3530,22.5,7,,,
㔱,U+3531,22.9,11,,,
㔲,U+3532,22.11,13,,,
㔳,U+3533,22.11,13,,,
㔴,U+3534,22.11,13,,,
㔵,U+3535,22.12,14,,,
㔶,U+3536,22.24,26,,,
㔷,U+3537,23.5,7,,,
㔸,U+3538,23.10,12,,,
㔹,U+3539,24.2,4,,,
㔺,U+353A,24.4,6,,,
㔻,U+353B,24.4,6,,,
㔼,U+353C,24.11,13,,,
㔽,U+353D,25.6,8,,,
㔾,U+353E,26.1,3,,H,
㔿,U+353F,26.1,3,,,
㕀,U+3540,26.5,7,,,
㕁,U+3541,26.6,8,,,
㕂,U+3542,27.4,6,,,
㕃,U+3543,27.4,6,,,
㕄,U+3544,27.4,6,,,
㕅,U+3545,27.5,7,,,
㕆,U+3546,27.5,7,,,
㕇,U+3547,27.5,7,,,
㕈,U+3548,27.6,8,,,
㕉,U+3549,27.6,8,,,
㕊,U+354A,27.7,9,,,
㕋,U+354B,27.8,10,,,
㕌,U+354C,27.8,10,,,
㕍,U+354D,27.8,10,,,
㕎,U+354E,27.10,12,,,
㕏,U+354F,27.11,13,,,
㕐,U+3550,27.12,14,,,
㕑,U+3551,27.12,14,,H,
㕒,U+3552,27.13,15,,,
㕓,U+3553,27.15,17,,H,
㕔,U+3554,27.22,24,,,
㕕,U+3555,28.2,4,,,
㕖,U+3556,28.8,10,,,
㕗,U+3557,28.9,11,,,
㕘,U+3558,28.9,11,,,
㕙,U+3559,28.13,15,,H,
㕚,U+355A,29.2,4,,,
㕛,U+355B,29.2,4,,,
㕜,U+355C,29.4,6,,,
㕝,U+355D,29.5,7,,,
㕞,U+355E,29.6,8,,,
㕟,U+355F,29.7,9,,,
㕠,U+3560,29.10,12,,,
㕡,U+3561,29.12,14,,H,
㕢,U+3562,154.7,14,,,
㕣,U+3563,30.2,5,,,
㕤,U+3564,30.2,5,,,
㕥,U+3565,30.2,5,,,
㕦,U+3566,30.3,6,,,
㕧,U+3567,30.3,6,,,
㕨,U+3568,30.3,6,,,
㕩,U+3569,30.4,7,,,
㕪,U+356A,30.4,7,,,
㕫,U+356B,30.4,7,,,
㕬,U+356C,30.4,7,,,
㕭,U+356D,30.4,7,,H,
㕮,U+356E,30.4,7,,G,
㕯,U+356F,30.4,7,,,
㕰,U+3570,30.4,7,,H,
㕱,U+3571,30.4,7,,,
㕲,U+3572,30.4,7,,H,
㕳,U+3573,30.4,7,,,
㕴,U+3574,30.4,7,,,
㕵,U+3575,30.4,7,,,
㕶,U+3576,30.4,7,,,
㕷,U+3577,30.5,8,CT,H,
㕸,U+3578,30.5,8,,H,
㕹,U+3579,30.5,8,,,
㕺,U+357A,30.5,8,,,
㕻,U+357B,30.5,8,,,
㕼,U+357C,30.5,8,,,
㕽,U+357D,30.5,8,,,
㕾,U+357E,30.5,8,,,
㕿,U+357F,30.5,8,,,
㖀,U+3580,30.6,9,,,
㖁,U+3581,30.6,9,,,
㖂,U+3582,30.6,9,,,
㖃,U+3583,30.6,9,,,
㖄,U+3584,30.6,9,,H,
㖅,U+3585,30.6,9,,,
㖆,U+3586,30.6,9,,,
㖇,U+3587,30.6,9,,,
㖈,U+3588,30.6,9,,,
㖉,U+3589,30.6,9,,,
㖊,U+358A,30.6,9,,,h
㖋,U+358B,30.6,9,,,
㖌,U+358C,30.6,9,,,
㖍,U+358D,30.6,9,,,
㖎,U+358E,30.6,9,,,
㖏,U+358F,30.7,10,,,
㖐,U+3590,30.7,10,,,
㖑,U+3591,30.7,10,,,
㖒,U+3592,30.7,10,,,
㖓,U+3593,30.7,10,,,
㖔,U+3594,30.7,10,,,
㖕,U+3595,30.7,10,,,
㖖,U+3596,30.7,10,,,
㖗,U+3597,30.7,10,,H,
㖘,U+3598,30.7,10,,H,
㖙,U+3599,30.7,10,,,
㖚,U+359A,30.7,10,,,
㖛,U+359B,30.7,10,,,
㖜,U+359C,30.7,10,,,
㖝,U+359D,30.7,10,,,
㖞,U+359E,30.7,10,,,h
㖟,U+359F,30.8,11,,,
㖠,U+35A0,30.8,11,,,
㖡,U+35A1,30.8,11,CH,H,h
㖢,U+35A2,30.8,11,,,
㖣,U+35A3,30.8,11,,,
㖤,U+35A4,30.8,11,,,
㖥,U+35A5,30.8,11,,H,
㖦,U+35A6,30.8,11,,,
㖧,U+35A7,30.8,11,,,
㖨,U+35A8,30.8,11,,,
㖩,U+35A9,30.8,11,,,
㖪,U+35AA,30.8,11,,,
㖫,U+35AB,30.8,11,,,
㖬,U+35AC,30.8,11,,,
㖭,U+35AD,30.8,11,CH,H,h
㖮,U+35AE,30.8,11,,,
㖯,U+35AF,30.8,11,,,
㖰,U+35B0,30.8,11,,,
㖱,U+35B1,30.8,11,,,
㖲,U+35B2,30.8,11,,,
㖳,U+35B3,30.8,11,,,
㖴,U+35B4,30.8,11,,,
㖵,U+35B5,30.8,11,,,
㖶,U+35B6,30.9,12,,,
㖷,U+35B7,30.9,12,,,
㖸,U+35B8,30.9,12,,,
㖹,U+35B9,30.9,12,,,
㖺,U+35BA,30.9,12,,,
㖻,U+35BB,30.9,12,,,
㖼,U+35BC,30.9,12,,,
㖽,U+35BD,30.9,12,,,
㖾,U+35BE,30.9,12,,,
㖿,U+35BF,30.9,12,CH,H,h
㗀,U+35C0,30.9,12,,,
㗁,U+35C1,30.9,12,,H,
㗂,U+35C2,30.9,12,,,
㗃,U+35C3,30.9,12,,,
㗄,U+35C4,30.9,12,,,
㗅,U+35C5,30.9,12,,H,
㗆,U+35C6,30.9,12,,,
㗇,U+35C7,30.9,12,,H,
㗈,U+35C8,30.9,12,,,
㗉,U+35C9,30.9,12,,,
㗊,U+35CA,30.9,12,,H,
㗋,U+35CB,30.9,12,,,
㗌,U+35CC,30.9,12,,,
㗍,U+35CD,30.9,12,,,
㗎,U+35CE,30.9,12,BHM,HM,h
㗏,U+35CF,30.9,12,,,
㗐,U+35D0,30.9,12,,,
㗑,U+35D1,30.9,12,,,
㗒,U+35D2,30.10,13,,H,
㗓,U+35D3,30.10,13,,,
㗔,U+35D4,30.10,13,,,
㗕,U+35D5,30.10,13,,,
㗖,U+35D6,30.10,13,,H,
㗗,U+35D7,30.10,13,,,
㗘,U+35D8,30.10,13,,,
㗙,U+35D9,30.10,13,,,
㗚,U+35DA,30.10,13,,,
㗛,U+35DB,30.10,13,,H,
㗜,U+35DC,30.10,13,,,
㗝,U+35DD,30.10,13,,H,
㗞,U+35DE,30.10,13,,,
㗟,U+35DF,30.10,13,,,
㗠,U+35E0,30.10,13,,,
㗡,U+35E1,30.10,13,,,
㗢,U+35E2,30.11,14,,,
㗣,U+35E3,30.11,14,,,
㗤,U+35E4,30.11,14,,,
㗥,U+35E5,30.11,14,,,
㗦,U+35E6,30.11,14,,,
㗧,U+35E7,30.11,14,,,
㗨,U+35E8,30.11,14,,,
㗩,U+35E9,30.11,14,,,
㗪,U+35EA,30.11,14,,,
㗫,U+35EB,30.11,14,,,
㗬,U+35EC,30.11,14,,,
㗭,U+35ED,30.11,14,,,
㗮,U+35EE,30.11,14,,,
㗯,U+35EF,30.11,14,,,
㗰,U+35F0,30.11,14,,,
㗱,U+35F1,30.12,15,,H,
㗲,U+35F2,30.12,15,,H,
㗳,U+35F3,30.12,15,CH,H,h
㗴,U+35F4,30.12,15,,,
㗵,U+35F5,30.12,15,,,
㗶,U+35F6,30.12,15,,,
㗷,U+35F7,30.12,15,,,
㗸,U+35F8,30.12,15,,,
㗹,U+35F9,30.12,15,,,
㗺,U+35FA,30.12,15,,,
㗻,U+35FB,30.13,16,,H,
㗼,U+35FC,30.13,16,,,
㗽,U+35FD,30.13,16,,,
㗾,U+35FE,30.13,16,CH,H,h
㗿,U+35FF,30.13,16,,,
㘀,U+3600,30.13,16,,,
㘁,U+3601,30.13,16,,,
㘂,U+3602,30.13,16,,,
㘃,U+3603,30.13,16,,,
㘄,U+3604,30.13,16,,,
㘅,U+3605,30.14,17,,,
㘆,U+3606,30.14,17,,,
㘇,U+3607,30.14,17,,,
㘈,U+3608,30.14,17,,,
㘉,U+3609,30.15,18,,H,
㘊,U+360A,30.15,18,,,
㘋,U+360B,30.15,18,,,
㘌,U+360C,30.15,18,,,
㘍,U+360D,30.15,18,,,
㘎,U+360E,30.15,18,,G,
㘏,U+360F,30.15,18,,,
㘐,U+3610,30.16,19,,,
㘑,U+3611,30.16,19,,,
㘒,U+3612,30.16,19,,,
㘓,U+3613,30.17,20,,,
㘔,U+3614,30.17,20,,,
㘕,U+3615,30.18,21,,,
㘖,U+3616,30.18,21,,,
㘗,U+3617,30.18,21,,,
㘘,U+3618,30.19,22,,H,
㘙,U+3619,30.20,23,,,
㘚,U+361A,30.20,23,,H,
㘛,U+361B,30.22,25,,,
㘜,U+361C,30.23,26,,,
㘝,U+361D,31.2,5,,,
㘞,U+361E,19.3,5,,,
㘟,U+361F,31.3,6,,,
㘠,U+3620,31.5,8,,,
㘡,U+3621,31.5,8,,,
㘢,U+3622,31.6,9,,,
㘣,U+3623,31.7,10,,H,
㘤,U+3624,31.11,14,,,
㘥,U+3625,31.17,20,,H,
㘦,U+3626,32.2,5,,,
㘧,U+3627,32.4,7,,,
㘨,U+3628,32.4,7,,,
㘩,U+3629,32.4,7,,,
㘪,U+362A,32.4,7,,,
㘫,U+362B,32.4,7,,,
㘬,U+362C,32.4,7,,,
㘭,U+362D,32.4,7,,H,
㘮,U+362E,32.4,7,,,
㘯,U+362F,32.4,7,,,
㘰,U+3630,32.4,7,,,
㘱,U+3631,32.5,8,,,
㘲,U+3632,32.5,8,,,
㘳,U+3633,32.5,8,,,
㘴,U+3634,32.5,8,,,
㘵,U+3635,32.5,8,,H,
㘶,U+3636,32.6,9,,,
㘷,U+3637,32.6,9,,,
㘸,U+3638,32.6,9,,,
㘹,U+3639,32.6,9,,H,
㘺,U+363A,32.6,9,,,
㘻,U+363B,32.6,9,,,
㘼,U+363C,32.6,9,,,
㘽,U+363D,32.6,9,,,
㘾,U+363E,32.6,9,,H,
㘿,U+363F,32.7,10,,,
㙀,U+3640,32.7,10,,,
㙁,U+3641,32.7,10,,,
㙂,U+3642,32.7,10,,,
㙃,U+3643,32.7,10,,,
㙄,U+3644,32.7,10,,,
㙅,U+3645,32.7,10,,,
㙆,U+3646,32.7,10,,,
㙇,U+3647,32.8,11,,H,
㙈,U+3648,32.8,11,,H,
㙉,U+3649,32.8,11,,H,
㙊,U+364A,32.8,11,,,
㙋,U+364B,32.8,11,,,
㙌,U+364C,32.8,11,,,
㙍,U+364D,32.8,11,,G,
㙎,U+364E,32.9,12,,H,
㙏,U+364F,32.9,12,,,
㙐,U+3650,32.9,12,,,
㙑,U+3651,32.9,12,,,
㙒,U+3652,32.9,12,,,
㙓,U+3653,32.9,12,,,
㙔,U+3654,32.9,12,,,
㙕,U+3655,32.9,12,,,
㙖,U+3656,32.9,12,,,
㙗,U+3657,32.9,12,,,
㙘,U+3658,32.9,12,,G,
㙙,U+3659,32.10,13,,,
㙚,U+365A,32.10,13,,,
㙛,U+365B,32.10,13,,,
㙜,U+365C,32.10,13,,,
㙝,U+365D,32.10,13,,,
㙞,U+365E,32.10,13,,,
㙟,U+365F,32.10,13,,H,
㙠,U+3660,32.11,14,,,
㙡,U+3661,32.11,14,,H,
㙢,U+3662,32.11,14,,,
㙣,U+3663,32.11,14,,,
㙤,U+3664,32.11,14,,,
㙥,U+3665,32.11,14,,,
㙦,U+3666,32.11,14,,G,
㙧,U+3667,32.12,15,,,
㙨,U+3668,32.12,15,,,
㙩,U+3669,32.12,15,,,
㙪,U+366A,32.12,15,,,
㙫,U+366B,32.12,15,,,
㙬,U+366C,32.12,15,,,
㙭,U+366D,32.12,15,,,
㙮,U+366E,32.12,15,,,
㙯,U+366F,32.12,15,,,
㙰,U+3670,32.13,16,,,
㙱,U+3671,32.13,16,,,
㙲,U+3672,32.13,16,,,
㙳,U+3673,32.13,16,,,
㙴,U+3674,32.13,16,,,
㙵,U+3675,32.13,16,,,
㙶,U+3676,32.13,16,,,
㙷,U+3677,32.14,17,,,
㙸,U+3678,32.14,17,,,
㙹,U+3679,32.14,17,,,
㙺,U+367A,32.14,17,,H,
㙻,U+367B,32.15,18,,,
㙼,U+367C,32.15,18,,,
㙽,U+367D,32.15,18,,,
㙾,U+367E,32.16,19,,,
㙿,U+367F,32.16,19,,,
㚀,U+3680,32.17,20,,,
㚁,U+3681,32.21,24,,H,
㚂,U+3682,32.22,25,,,
㚃,U+3683,33.9,12,,,
㚄,U+3684,33.12,15,,,
㚅,U+3685,34.6,9,,,
㚆,U+3686,35.6,9,,,
㚇,U+3687,35.6 66.6,9,,,
㚈,U+3688,36.2,5,,,
㚉,U+3689,36.5,8,,,
㚊,U+368A,36.9,12,,,
㚋,U+368B,36.11,14,,,
㚌,U+368C,36.11,14,,,
㚍,U+368D,36.15,18,,,
㚎,U+368E,37.2,5,,,
㚏,U+368F,37.3,6,,,
㚐,U+3690,37.3,6,,,
㚑,U+3691,37.3,6,,,
㚒,U+3692,37.4,7,,,
㚓,U+3693,37.4,7,,,
㚔,U+3694,37.5,8,,,
㚕,U+3695,37.5,8,,,
㚖,U+3696,37.5,8,,,
㚗,U+3697,37.5,8,,,
㚘,U+3698,37.5,8,,,
㚙,U+3699,37.5,8,,,
㚚,U+369A,37.6,9,,H,
㚛,U+369B,37.6,9,,,
㚜,U+369C,37.8,11,,,
㚝,U+369D,37.8,11,,,
㚞,U+369E,37.8,11,,,
㚟,U+369F,37.9,12,,,
㚠,U+36A0,37.10,13,,,
㚡,U+36A1,37.13,16,,,
㚢,U+36A2,38.2,5,,,
㚣,U+36A3,38.3,6,,,
㚤,U+36A4,38.3,6,,,
㚥,U+36A5,38.3,6,,H,
㚦,U+36A6,38.3,6,,,
㚧,U+36A7,38.3,6,,,
㚨,U+36A8,38.3,6,,,
㚩,U+36A9,38.4,7,,,
㚪,U+36AA,38.4,7,,H,
㚫,U+36AB,38.4,7,,,
㚬,U+36AC,38.4,7,,H,
㚭,U+36AD,38.4,7,,,
㚮,U+36AE,38.4,7,,,
㚯,U+36AF,38.4,7,,,
㚰,U+36B0,38.5,8,,H,
㚱,U+36B1,38.5,8,,H,
㚲,U+36B2,38.5,8,,,
㚳,U+36B3,38.5,8,,,
㚴,U+36B4,38.5,8,,,
㚵,U+36B5,38.5,8,,H,
㚶,U+36B6,38.5,8,,,
㚷,U+36B7,38.5,8,,,
㚸,U+36B8,38.5,8,,,
㚹,U+36B9,38.5,8,,H,
㚺,U+36BA,38.5,8,,,
㚻,U+36BB,38.5,8,,,
㚼,U+36BC,38.5,8,,H,
㚽,U+36BD,38.5,8,,,
㚾,U+36BE,38.5,8,,,
㚿,U+36BF,38.5,8,,,
㛀,U+36C0,38.5,8,,,
㛁,U+36C1,38.5,8,,H,
㛂,U+36C2,38.6,9,,,
㛃,U+36C3,38.6,9,,GH,
㛄,U+36C4,38.6,9,,H,
㛅,U+36C5,38.6,9,,H,
㛆,U+36C6,38.6,9,,,
㛇,U+36C7,38.6,9,,H,
㛈,U+36C8,38.6,9,,H,
㛉,U+36C9,38.6,9,,,
㛊,U+36CA,38.6,9,,,
㛋,U+36CB,38.6,9,,,
㛌,U+36CC,38.6,9,,,
㛍,U+36CD,38.7,10,,,
㛎,U+36CE,38.7,10,,,
㛏,U+36CF,38.7,10,,,
㛐,U+36D0,38.7,10,,,
㛑,U+36D1,38.7,10,,,
㛒,U+36D2,38.7,10,,,
㛓,U+36D3,38.7,10,,H,
㛔,U+36D4,38.7,10,,H,
㛕,U+36D5,38.7,10,,,
㛖,U+36D6,38.7,10,,H,
㛗,U+36D7,38.7,10,,,
㛘,U+36D8,38.7,10,,,
㛙,U+36D9,38.7,10,,,
㛚,U+36DA,38.7,10,,G,
㛛,U+36DB,38.7,10,,,
㛜,U+36DC,38.7,10,,,
㛝,U+36DD,38.7,10,,H,
㛞,U+36DE,38.7,10,,,
㛟,U+36DF,38.7,10,,,
㛠,U+36E0,38.4,7,,,
㛡,U+36E1,38.7,10,,H,
㛢,U+36E2,38.7,10,,H,
㛣,U+36E3,38.7,10,,,
㛤,U+36E4,38.7,10,,,
㛥,U+36E5,38.8,11,,H,
㛦,U+36E6,38.8,11,,H,
㛧,U+36E7,38.8,11,,,
㛨,U+36E8,38.8,11,,,
㛩,U+36E9,38.8,11,,,
㛪,U+36EA,38.8,11,,,
㛫,U+36EB,38.8,11,,,
㛬,U+36EC,38.8,11,,,
㛭,U+36ED,38.8,11,,,
㛮,U+36EE,38.9,12,,,
㛯,U+36EF,38.9,12,,,
